Name,Username,Password,Role,is_user,is_admin,is_itbl,is_ito
Robert Buskirk,UERobertBuskirk,UERobertBuskirk123,student,1,0,0,0
Helen Slater,UEHelenSlater,UEHelenSlater123,student,1,0,0,0
William Miller,UEWilliamMiller,UEWilliamMiller123,student,1,0,0,0
Adam Lau,UEAdamLau,UEAdamLau123,student,1,0,0,0
Joann Love,UEJoannLove,UEJoannLove123,student,1,0,0,0
Julie Carter,UEJulieCarter,UEJulieCarter123,student,1,0,0,0
John Jenkins,UEJohnJenkins,UEJohnJenkins123,student,1,0,0,0
Valerie Lewis,UEValerieLewis,UEValerieLewis123,student,1,0,0,0
Julius Bishop,UEJuliusBishop,UEJuliusBishop123,student,1,0,0,0
Alana Bell,UEAlanaBell,UEAlanaBell123,student,1,0,0,0
Martin Platt,UEMartinPlatt,UEMartinPlatt123,student,1,0,0,0
Randi Gibbs,UERandiGibbs,UERandiGibbs123,student,1,0,0,0
Raymond Zuhlke,UERaymondZuhlke,UERaymondZuhlke123,student,1,0,0,0
James Noland,UEJamesNoland,UEJamesNoland123,student,1,0,0,0
Thomas Perez,UEThomasPerez,UEThomasPerez123,student,1,0,0,0
Theresa Terrell,UETheresaTerrell,UETheresaTerrell123,student,1,0,0,0
Melvin Nunez,UEMelvinNunez,UEMelvinNunez123,student,1,0,0,0
Taryn Fernandez,UETarynFernandez,UETarynFernandez123,student,1,0,0,0
Allen Morris,UEAllenMorris,UEAllenMorris123,student,1,0,0,0
Jimmy Sparkman,UEJimmySparkman,UEJimmySparkman123,student,1,0,0,0
Thelma Delagarza,UEThelmaDelagarza,UEThelmaDelagarza123,student,1,0,0,0
Jason Beech,UEJasonBeech,UEJasonBeech123,student,1,0,0,0
Joyce Johnson,UEJoyceJohnson,UEJoyceJohnson123,student,1,0,0,0
John Tran,UEJohnTran,UEJohnTran123,student,1,0,0,0
Dustin Rodriguez,UEDustinRodriguez,UEDustinRodriguez123,student,1,0,0,0
Dennis Plater,UEDennisPlater,UEDennisPlater123,student,1,0,0,0
Brian Graf,UEBrianGraf,UEBrianGraf123,student,1,0,0,0
Jason Mondragon,UEJasonMondragon,UEJasonMondragon123,student,1,0,0,0
Travis Mapes,UETravisMapes,UETravisMapes123,student,1,0,0,0
William Girard,UEWilliamGirard,UEWilliamGirard123,student,1,0,0,0
Jerome Duran,UEJeromeDuran,UEJeromeDuran123,student,1,0,0,0
Teri Logan,UETeriLogan,UETeriLogan123,student,1,0,0,0
Bobby Cagle,UEBobbyCagle,UEBobbyCagle123,student,1,0,0,0
Charles Lavalle,UECharlesLavalle,UECharlesLavalle123,student,1,0,0,0
John Young,UEJohnYoung,UEJohnYoung123,student,1,0,0,0
Robert Watson,UERobertWatson,UERobertWatson123,student,1,0,0,0
Edward Calhoun,UEEdwardCalhoun,UEEdwardCalhoun123,student,1,0,0,0
Keely Rash,UEKeelyRash,UEKeelyRash123,student,1,0,0,0
Jack Christensen,UEJackChristensen,UEJackChristensen123,student,1,0,0,0
Michael Osterstuck,UEMichaelOsterstuck,UEMichaelOsterstuck123,student,1,0,0,0
Marie Hirtz,UEMarieHirtz,UEMarieHirtz123,student,1,0,0,0
William Patel,UEWilliamPatel,UEWilliamPatel123,student,1,0,0,0
Dennis Simpson,UEDennisSimpson,UEDennisSimpson123,student,1,0,0,0
Joseph Digeorgio,UEJosephDigeorgio,UEJosephDigeorgio123,student,1,0,0,0
Annie Cerda,UEAnnieCerda,UEAnnieCerda123,student,1,0,0,0
Brittany Marsingill,UEBrittanyMarsingill,UEBrittanyMarsingill123,student,1,0,0,0
Lucille Randle,UELucilleRandle,UELucilleRandle123,student,1,0,0,0
Sally Stahnke,UESallyStahnke,UESallyStahnke123,student,1,0,0,0
Robert Nelson,UERobertNelson,UERobertNelson123,student,1,0,0,0
Anthony Burke,UEAnthonyBurke,UEAnthonyBurke123,student,1,0,0,0
Marcia Wagner,UEMarciaWagner,UEMarciaWagner123,student,1,0,0,0
Nellie Williams,UENellieWilliams,UENellieWilliams123,student,1,0,0,0
Amanda Wick,UEAmandaWick,UEAmandaWick123,student,1,0,0,0
Michael Marston,UEMichaelMarston,UEMichaelMarston123,student,1,0,0,0
Joshua Egerton,UEJoshuaEgerton,UEJoshuaEgerton123,student,1,0,0,0
Esther Mcgloster,UEEstherMcgloster,UEEstherMcgloster123,student,1,0,0,0
Sharon Capozzoli,UESharonCapozzoli,UESharonCapozzoli123,student,1,0,0,0
Curtis Wu,UECurtisWu,UECurtisWu123,student,1,0,0,0
Henry Wilson,UEHenryWilson,UEHenryWilson123,student,1,0,0,0
Roderick Williams,UERoderickWilliams,UERoderickWilliams123,student,1,0,0,0
Lucile Robinson,UELucileRobinson,UELucileRobinson123,student,1,0,0,0
